GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchemaSpy Maven Plugin,com.wakaleo.schemaspy,HelpMojo,893,0,110,0,159,0,71,0,16,0
SchemaSpy Maven Plugin,com.wakaleo.schemaspy,SchemaSpyReport,66,323,10,14,14,63,15,11,8,6
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,XmlTableFormatter.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByTypeComparator,0,30,0,2,0,6,0,3,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlRelationshipsPage,157,273,21,9,41,54,15,5,0,5
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlDiagramFormatter,68,18,6,2,16,8,4,3,0,3
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,DotNode,85,650,15,51,10,92,16,26,2,7
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,TextFormatter,2,26,3,3,0,7,2,4,0,3
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,DefaultSqlFormatter,1384,6,36,0,81,2,23,2,5,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ColumnInfo,0,37,0,0,0,9,0,6,0,6
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,DotConnectorFinder,8,181,11,31,3,36,9,17,0,5
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlOrphansPage,120,101,9,5,24,27,7,5,0,5
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,StyleSheet.ParseException,8,0,0,0,4,0,2,0,2,0
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.BySizeComparator,0,38,0,4,0,8,0,4,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlConstraintsPage,69,423,6,18,20,120,6,16,0,10
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlTableDiagrammer,44,190,4,4,12,29,4,3,0,3
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,StyleSheet.MissingCssPropertyException,20,0,0,0,2,0,1,0,1,0
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByAutoUpdateComparator,6,32,4,2,0,6,3,2,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByDefaultValueComparator,0,32,1,1,0,6,1,2,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,DotNode.DotNodeConfig,0,27,0,0,0,8,0,2,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,StyleSheet,115,314,15,39,23,78,15,26,3,11
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByTableComparator,0,22,0,2,0,5,0,3,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlFormatter,197,706,26,64,44,159,20,46,2,19
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByNullableComparator,0,38,0,6,0,6,0,5,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage,34,512,10,28,7,110,8,20,0,9
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,WriteStats,12,60,2,6,2,17,2,8,0,6
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlMainIndexPage.new Comparator() {...},0,10,0,0,0,2,0,2,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlMultipleSchemasIndexPage,323,0,16,0,94,0,15,0,7,0
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,XmlTableFormatter,125,448,24,28,20,100,21,17,2,10
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,DotFormatter,111,801,33,91,27,152,32,43,2,11
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlAnomaliesPage,483,220,31,8,140,69,20,14,0,14
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,ImageWriter,0,39,0,0,0,7,0,3,0,3
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,DotConnector,59,245,14,20,12,59,15,16,2,12
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlTablePage,381,1044,61,81,89,247,50,36,0,15
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlColumnsPage.ByColumnComparator,0,22,0,2,0,5,0,3,0,2
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.view,HtmlMainIndexPage,99,697,33,33,23,165,28,13,0,8
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.model,Database.BasicTableMeta,0,24,0,0,0,8,0,1,0,1
SchemaSpy Maven Plugin,net.sourceforge.schemaspy.model,Table,857,936,139,95,185,232,109,65,14,43
